image,label
./dataset/train/train/train_image/0.jpg,./dataset/train/train/train_mask/0.png
./dataset/train/train/train_image/1.jpg,./dataset/train/train/train_mask/1.png
./dataset/train/train/train_image/10.jpg,./dataset/train/train/train_mask/10.png
./dataset/train/train/train_image/100.jpg,./dataset/train/train/train_mask/100.png
./dataset/train/train/train_image/1000.jpg,./dataset/train/train/train_mask/1000.png
./dataset/train/train/train_image/1001.jpg,./dataset/train/train/train_mask/1001.png
./dataset/train/train/train_image/1002.jpg,./dataset/train/train/train_mask/1002.png
./dataset/train/train/train_image/1003.jpg,./dataset/train/train/train_mask/1003.png
./dataset/train/train/train_image/1004.jpg,./dataset/train/train/train_mask/1004.png
./dataset/train/train/train_image/1005.jpg,./dataset/train/train/train_mask/1005.png
./dataset/train/train/train_image/1006.jpg,./dataset/train/train/train_mask/1006.png
./dataset/train/train/train_image/1007.jpg,./dataset/train/train/train_mask/1007.png
./dataset/train/train/train_image/1008.jpg,./dataset/train/train/train_mask/1008.png
./dataset/train/train/train_image/1009.jpg,./dataset/train/train/train_mask/1009.png
./dataset/train/train/train_image/101.jpg,./dataset/train/train/train_mask/101.png
./dataset/train/train/train_image/1010.jpg,./dataset/train/train/train_mask/1010.png
./dataset/train/train/train_image/1011.jpg,./dataset/train/train/train_mask/1011.png
./dataset/train/train/train_image/1012.jpg,./dataset/train/train/train_mask/1012.png
./dataset/train/train/train_image/1013.jpg,./dataset/train/train/train_mask/1013.png
./dataset/train/train/train_image/1014.jpg,./dataset/train/train/train_mask/1014.png
./dataset/train/train/train_image/1015.jpg,./dataset/train/train/train_mask/1015.png
./dataset/train/train/train_image/1016.jpg,./dataset/train/train/train_mask/1016.png
./dataset/train/train/train_image/1017.jpg,./dataset/train/train/train_mask/1017.png
./dataset/train/train/train_image/1018.jpg,./dataset/train/train/train_mask/1018.png
./dataset/train/train/train_image/1019.jpg,./dataset/train/train/train_mask/1019.png
./dataset/train/train/train_image/102.jpg,./dataset/train/train/train_mask/102.png
./dataset/train/train/train_image/1020.jpg,./dataset/train/train/train_mask/1020.png
./dataset/train/train/train_image/1021.jpg,./dataset/train/train/train_mask/1021.png
./dataset/train/train/train_image/1022.jpg,./dataset/train/train/train_mask/1022.png
./dataset/train/train/train_image/1023.jpg,./dataset/train/train/train_mask/1023.png
./dataset/train/train/train_image/1024.jpg,./dataset/train/train/train_mask/1024.png
./dataset/train/train/train_image/1025.jpg,./dataset/train/train/train_mask/1025.png
./dataset/train/train/train_image/1026.jpg,./dataset/train/train/train_mask/1026.png
./dataset/train/train/train_image/1027.jpg,./dataset/train/train/train_mask/1027.png
./dataset/train/train/train_image/1028.jpg,./dataset/train/train/train_mask/1028.png
